title,rating,body,,,,,,,,
Great CPU,5.0 out of 5 stars,Perfect for me!,,,,,,,,
Lack of information,5.0 out of 5 stars,"They didn't mention that the processor came with a cooler, so I bought a better one than the one it comes with, but.",,,,,,,,
Great Entry Level Processor!,5.0 out of 5 stars,This is a great entry-level processor that works like a more expensive processor! Makes an excellent.,,,,,,,,
Top,5.0 out of 5 stars,Top.,,,,,,,,
Excellent CPU,5.0 out of 5 stars,"Excellent CPU for gaming, supports high-end GPU ranges.",,,,,,,,
Graphics performance is high,5.0 out of 5 stars,"Even for high-end games, there is no need for an i7 or i9 limit. This CPU is perfect for me.",,,,,,,,
Great performance,5.0 out of 5 stars,Great performance.,,,,,,,,
Stable and cool!,5.0 out of 5 stars,"Temperatures under stress at 60°C, otherwise 30°C cooled by air with an old Noctua.",,,,,,,,
Good CPU for Proxmox server,5.0 out of 5 stars,"20 threads, 30W idle, what else do you need? Great CPU for Proxmox server, tons of power!",,,,,,,,
Best value for money spent,5.0 out of 5 stars,I'm working on upgrading my current build and this was just the thing I needed. So many games run so.,,,,,,,,
Power and Performance Unleashed,5.0 out of 5 stars,The Intel Core i5-13500 CPU is a testament to Intel's commitment to delivering high-performance comp.,,,,,,,,
Quality,5.0 out of 5 stars,Thank you.,,,,,,,,
Diamond in the rough.,5.0 out of 5 stars,"Hello, so I bought this processor to replace my Ryzen 7 2700X that finally decided to die on me. I ha.",,,,,,,,
Very happy with this i5-13500,5.0 out of 5 stars,"I bought the i5 13500 due to the good reviews, as it would be good for video editing.",,,,,,,,
Great CPU,5.0 out of 5 stars,This CPU is more than enough for any mid-low end PC build and will play well at any game (including.,,,,,,,,
Good,5.0 out of 5 stars,Works reliably.,,,,,,,,
This is the future. Some may argue.,5.0 out of 5 stars,This CPU was a no-brainer for a budget gaming PC. Works well and was super easy to install in my Asr.,,,,,,,,
"Fast CPU, low temps",5.0 out of 5 stars,For the price.,,,,,,,,
Amazing value for money.,5.0 out of 5 stars,"Upgraded from a 4690K. Using AK500 cooler. Can maintain roughly 4GHz in full load. Overall, there is enough improvement in performance, but the feeling is like an upgrade from a soccer ball to a basketball. It feels faster, even with the same memory and SSD.",,,,,,,,
Great when paired with a good graphics card,5.0 out of 5 stars,"Used in a new build with a ROG Strix Z690-E motherboard, 32GB of DDR5 6400 RAM, and a 1TB Samsung.",,,,,,,,
These are perfect for office builds,5.0 out of 5 stars,Great performance on a budget. Great core for a 1080p/2K gaming machine. Easy to install and no issues.,,,,,,,,
Excellent service,5.0 out of 5 stars,Paired it with an RTX 3070 and handles everything very well. 40% utilization with full load of GPU. A.,,,,,,,,
Nothing to report,5.0 out of 5 stars,"I build PCs for clients daily. The core i3-13100 is absolutely perfect. 6 core 12 thread, nothing ca.",,,,,,,,
"Good, nice, and cheap",5.0 out of 5 stars,"It arrived faster than I expected, everything in order and well protected at a very good price.",,,,,,,,
Great bang for the buck,5.0 out of 5 stars,Good product.,,,,,,,,
Speed,5.0 out of 5 stars,"It is the right processor, good performance for most current applications at an excellent.",,,,,,,,
Best bang for your buck!,5.0 out of 5 stars,"If you need more processor, buy more processor. However, most web surfers and video viewers will never.",,,,,,,,
Plenty fast enough without temp issues,5.0 out of 5 stars,"Wow, this thing is fast. Intel has done an amazing job with the 13th gen. I'm using it on my dev machine.",,,,,,,,
Very happy with it,5.0 out of 5 stars,This thing is still rated in the top for gaming processors and has served me well over the past few.,,,,,,,,
Not the fastest but solid,5.0 out of 5 stars,"Plenty fast enough for me, I do some gaming (War Thunder, Cities Skylines, Company of Heroes) and so.",,,,,,,,
Good all-around processor,5.0 out of 5 stars,The box contained everything I needed to install the processor. It was super-easy to install the processor.,,,,,,,,
Good for Gaming,5.0 out of 5 stars,Bought this to replace a burned out chip on my old motherboard. Install was easy (so long as you know.,,,,,,,,
Good for Gaming,5.0 out of 5 stars,I originally got this because I wanted to try out Intel's P cores/E cores. Coming from a long time AMD.,,,,,,,,
Easy to build a computer with this one.,5.0 out of 5 stars,"I bought it to play video games and I'm quite satisfied, it runs all the games at.",,,,,,,,
A necessary high-performance CPU.,5.0 out of 5 stars,"Changed from Ryzen to Intel, operation is smoother. Recommended for CPU beginners.",,,,,,,,
Enough and has integrated graphics,5.0 out of 5 stars,I just assembled a new computer using this processor on a Gigabyte B760 with DDR5 memory. The system.,,,,,,,,
Wipes the floor with gaming and video editing.,5.0 out of 5 stars,"Changed from Core i7-12700 to Core i5-13500. Feels good. For video editing purposes, it's perfect. Quiet, stable, and low power consumption.",,,,,,,,
The PERFECT budget gaming CPU,5.0 out of 5 stars,Used it in a fresh build on MSI Mortar wifi and Thermalright assassin x. Temps 3x on idle and 5x on.,,,,,,,,
Good,5.0 out of 5 stars,Upgrade from i5-7400 to this. It's night and day.,,,,,,,,
Bought this processor and a cheap MATX motherboard so I could run MicroSquish Windoze 11,5.0 out of 5 stars,"This thing performs neck-and-neck with an i7-12700K at half the power draw, with half the heat. It h.",,,,,,,,
Good quality,5.0 out of 5 stars,"At 40,000 yen weak, it's still a good CPU for 14 core 20 thread.",,,,,,,,
Pretty good,5.0 out of 5 stars,So I was stuck on Windows 10 with my LGA 1151 core i7-6700. This processor at an affordable price mo.,,,,,,,,
Good CPU!,5.0 out of 5 stars,"I originally thought 6 cores 12 threads was a good CPU for me, but after purchasing it, I think 10 cores 16 threads would have been better.",,,,,,,,
"Works quite well, it's a warrior",5.0 out of 5 stars,"A little expensive on Amazon, I would buy it from Newegg if you don't need the next day delivery. But t.",,,,,,,,
Cool,5.0 out of 5 stars,"Core i5-13500 has high performance and processing power. It uses 14nm process technology, and the clock speed goes up to 4.80GHz. This allows for multitasking and high-complexity applications.",,,,,,,,
x265 1080p slow settings enable 60fps encoding,5.0 out of 5 stars,"The smallest in its family and performs very well, perfect with an RTX 3060 12GB and everything on ULTRA.",,,,,,,,
Processor,5.0 out of 5 stars,"Processor with very good performance, it behaves very well when performing heavy tasks. Good perfo.",,,,,,,,
Amazing for the Price!,5.0 out of 5 stars,Achieving 60fps with 1080p animation in x265 of AviUtl is surprising. When compared with other PCs.,,,,,,,,
EXCELLENT PRODUCT,5.0 out of 5 stars,Works wonderfully thank you.,,,,,,,,
Problems after problems. Bluescreens in Windows 10 and 11.,4.0 out of 5 stars,"The problems started on the first day. Windows cannot be installed, after an attempt to do so, the system crashes. Support from the manufacturer has been unresponsive.",,,,,,,,
It works really well.,4.0 out of 5 stars,"Great processor... Especially for the price... Thankfully. Apart from the performance, what I like the most is the efficiency.",,,,,,,,
Quality/price ratio.,4.0 out of 5 stars,"It's a very good processor, but I wouldn't recommend it to anyone because of its high price. The i7 can do the job just fine for most users.",,,,,,,,
"Good, but...",4.0 out of 5 stars,"The best processor in 2022-2023 for those who want both gaming and productivity. Unfortunately, even with high-end components, stability issues persist.",,,,,,,,
"It consumes like a beast, costs a lot for what it offers (in December 2022).",4.0 out of 5 stars,"A dream processor, super fast, raw power... but at a cost. Actually, two costs. First, you pay the high price, then you deal with the heat output. Adequate cooling is essential.",,,,,,,,
Very good Intel Core i9-13900K desktop processor.,4.0 out of 5 stars,"I am very satisfied with the CPU, but the delivery took much longer than expected, it was supposed to be a one-day delivery.",,,,,,,,
Very hot.,4.0 out of 5 stars,"The processor works very well, but it heats up a lot, so you need to provide good cooling.",,,,,,,,
Excessively powerful.,4.0 out of 5 stars,"What can I say, anything I throw at it, it handles effortlessly, but the temperatures can get high.",,,,,,,,
Warhorse!!!!!!!!!,4.0 out of 5 stars,"The cream of the crop is what I can tell you. RTX 4090 MSI Suprim, i9 13900k, MSI S360 Watercooler.",,,,,,,,
Pure power.,4.0 out of 5 stars,Capable of running Fortnite alone on ultra settings at over 100 fps without any lag.,,,,,,,,
Nothing more.,4.0 out of 5 stars,"Replaced a 13700kf which wasn't great with overclocking (bought on Amazon), and this 13900k works very well.",,,,,,,,
The Intel i9-13900K is certainly nice.,4.0 out of 5 stars,"However, in my package, there was an i9-11900K. I had the choice between a refund or return when I contacted support.",,,,,,,,
Watch out for overheating.,4.0 out of 5 stars,"Excellent processor, super performant, and can adjust its frequency according to demand but... it runs hot.",,,,,,,,
"Works well, but uneven heat distribution.",4.0 out of 5 stars,"The high price, in my opinion, is total nonsense - just like with graphics cards, etc. This component is overpriced.",,,,,,,,
Power at a golden price.,4.0 out of 5 stars,"A good processor for those who can afford it. I won't write a long review, but the price is high.",,,,,,,,
Way too hot.,4.0 out of 5 stars,"Heats up way too much, I returned it.",,,,,,,,
Does what it's supposed to.,4.0 out of 5 stars,"Paired with an Asus Z790 motherboard, Noctua tower cooling, 64GB RAM, GPU RTX 3060 12GB. Doesn't crash.",,,,,,,,
Good value for 4070 tier GPUs.,4.0 out of 5 stars,"Make sure to put it with a decent cooler and a mount plate for good surface pressure; also, overclocking is decent.",,,,,,,,
Quick.,4.0 out of 5 stars,This blisters through a lot of tasks it's put up to but draws a lot of power and runs hot.,,,,,,,,
Excessive temperature.,4.0 out of 5 stars,"Although it's a great processor and despite having liquid cooling, it doesn't go below 38 degrees Celsius.",,,,,,,,
Impressive performance.,4.0 out of 5 stars,"Meets all my expectations in terms of gaming, but make sure to have a good cooling system.",,,,,,,,
Intel i7 13700KF.,4.0 out of 5 stars,Intel i7 13700KF LGA1700 processor. There's not much to say about the processor; it's perfect for gaming.,,,,,,,,
Powerful but it's like an oven.,4.0 out of 5 stars,"Impressive power processor. However, the temperatures it reaches are really extreme if not properly cooled.",,,,,,,,
"Performant, but...",3.0 out of 5 stars,"Excellent processor for professional/gaming use. However, I had some issues with it.",,,,,,,,
I do not recommend it.,3.0 out of 5 stars,"Go for an i5 13600KF, but I have a lot of trouble with this processor, mainly its power consumption and heat.",,,,,,,,
High cooling performance recommended.,3.0 out of 5 stars,"The 16-core processor offers high performance. However, the power consumption in practical use is still high.",,,,,,,,
Burning!! Seems like they came overclocked.,3.0 out of 5 stars,"Beware of these processors; even with a good 360 AIO and 9 fans, temperatures do not drop much.",,,,,,,,
Uh,3.0 out of 5 stars,"So, bought to replace my 13600KF, and well, this 13700KF meets its specs but is one of the worst for heat.",,,,,,,,
It heats up.,3.0 out of 5 stars,Good processor but runs very hot. Built into a PC with 10% airflow; improved after some ventilation adjustments.,,,,,,,,
"Package was torn, it looked like someone tried to see inside.",3.0 out of 5 stars,"Package was torn, it looked like someone tried to see inside. We'll see during assembly.",,,,,,,,
"Amazing processor, but check your CPU power management in BIOS.",3.0 out of 5 stars,"So, first thing's first. This is a genuinely powerful CPU that's been able to handle basically everything.",,,,,,,,
"Surprisingly fast, but watch out for corner chip escapes.",3.0 out of 5 stars,We set up multiple computing servers to run heavy video processing algorithms essentially continuously.,,,,,,,,
First chip was a factory defect.,3.0 out of 5 stars,Built my new PC. Thermals on the chip were high. Over 100°C when benchmarking. Kept shutting down the system.,,,,,,,,
Keep a fire extinguisher.,3.0 out of 5 stars,"""911, what's your emergency?"" ""My CPU caught my house on fire.""",,,,,,,,
Ordered new but received open and used.,3.0 out of 5 stars,Received CPU opened and used.,,,,,,,,
Good product but beware of shipping.,3.0 out of 5 stars,"In general, the product is good, but it's worth noting that the CPU cooler arrived broken.",,,,,,,,
"Great CPU, motherboards are tricky to handle in BIOS.",3.0 out of 5 stars,Got this for a homemade NAS/file server. Motherboard manufacturers push this chip to its limits.,,,,,,,,
Does not include RH1 cooler.,3.0 out of 5 stars,Doesn't include the cooler that's in the description.,,,,,,,,
"If the generation is different, it cannot be used.",3.0 out of 5 stars,I couldn't use it due to generational differences. It was disappointing.,,,,,,,,
Smoking hot and not in a good way.,3.0 out of 5 stars,Very fast CPU... if you can keep it from throttling. Requires at least a 360mm AIO to even attempt to control the heat.,,,,,,,,
Beware the poor quality control.,3.0 out of 5 stars,"This is an amazing processor, however I went through two defective, factory new, 13900KFs before I g",,,,,,,,
Good CPU!,3.0 out of 5 stars,Liked everything about this item except for the packaging. The CPU was inside the plastic protector ,,,,,,,,
Too hot.,3.0 out of 5 stars,Even with a strong water cooling,,,,,,,,
Overrated chip. Overpriced.,3.0 out of 5 stars,You have to tune this chip for efficiency. Do not attempt to run this using stock motherboard settin,,,,,,,,
Fast processor.,3.0 out of 5 stars,But it runs very hot and needs a massive cooling system. Even with the system I have I cannot overcl,,,,,,,,
95°C? WHILE UNDERVOLTED!?,3.0 out of 5 stars,"Using the best Noctua air cooler money can buy on this, and yet it'll hit 95°C on Modern Warfare 2?",,,,,,,,
Embarrassing.,3.0 out of 5 stars,"Unless you intend to warm up your entire house and pay a hefty sum for your electricity bills, I dont recommend this processor.",,,,,,,,
Top processor at the moment.,3.0 out of 5 stars,"Very good processor, but unfortunately the one I received was defective, and Amazon no longer has it in stock.",,,,,,,,
"High-performance processor, terrible stock cooler.",3.0 out of 5 stars,"The processor itself is excellent. Responsive and performs well in standard applications (internet, office), but a good cooler is needed because the stock one is noisy and inefficient.",,,,,,,,
No CPU inside,1.0 out of 5 stars,"First of all, I must say that the delivery was really quick. The scheduled date was for the following week.",,,,,,,,
Disappointed with the customer service,1.0 out of 5 stars,"After 3 months, it appeared that my processor is faulty. I discussed the issue with Intel support and they confirmed it.",,,,,,,,
Faulty product,1.0 out of 5 stars,Dont buy from this seller. This company sells faulty products. The courier charge to return the faulty item is outrageous.,,,,,,,,
Packaging for i9 13900k damaged,1.0 out of 5 stars,"My first review ever. Intel has finally acknowledged this issue, search ""Regarding Reports of 13th/14th Gen Intel Processors"".",,,,,,,,
Will be dead on arrival or degrade over months,1.0 out of 5 stars,"I didnt open the processor box until I had all the pieces to build the computer, and I was disappointed to find it used.",,,,,,,,
It didn't arrive; it was inside the product box,1.0 out of 5 stars,"i9 13900k tested on Asus Strix Z790-E Gaming + Windows 11 Pro, and all drivers and firmware upgraded to the latest versions.",,,,,,,,
Very disappointed with this product,1.0 out of 5 stars,"It worked fine for 6 months, then I started running into Error Code 0xC0000005 with various applications.",,,,,,,,
Worst warranty support I have ever dealt with or it doesn't support Windows 10 or 11,1.0 out of 5 stars,"I saved up for years to upgrade my PC, which I built from scratch to use for streaming. After a couple of months, it started having issues.",,,,,,,,
Lots of gaming instability,1.0 out of 5 stars,This i9 chip is very likely guilty of destroying 2 ASUS ROG Maximus Hero Z790 motherboards. The first one fried within a week.,,,,,,,,
Do you feel lucky?,1.0 out of 5 stars,"Ive switched out PSUs, motherboards, SSDs. Ive even sent my 4080 on an RMA process with Gigabyte trying to troubleshoot this CPU.",,,,,,,,
"Perpetual heating issues, BSODs, games crashing",1.0 out of 5 stars,I still have this CPU because I spent a bunch of money on it. It overheats and overclocks itself. Not worth it.,,,,,,,,
So many problems,1.0 out of 5 stars,I purchased this CPU bundled with the ASUS TUF Gaming Z790-Plus WiFi motherboard. That started causing issues from the get-go.,,,,,,,,
Production problems!,1.0 out of 5 stars,I could not get a signal to my monitor from my new computer build. Finally took the entire computer to a professional.,,,,,,,,
"Worked great for 4 months, then...",1.0 out of 5 stars,Worked fine for 4 months then it started crashing and freezing. It destroyed the OS kernel and the O,,,,,,,,
Received an open box with a dead CPU,1.0 out of 5 stars,The box was open and tried the cpu not booting and no display,,,,,,,,
Dead On Arrival (DOA) and still no refund,1.0 out of 5 stars,Processor was fulfilled by Amazon and was dead on arrival. Tried it on another known good motherboar,,,,,,,,
Disappointed,1.0 out of 5 stars,The Intel 13th gen CPUs have been a big disappointment. I originally had a faulty 13900KS which inte,,,,,,,,
Had to RMA CPU because of constant game crashes,1.0 out of 5 stars,I am currently in the process of replacing this cpu since mine is defective. Read the threads and do,,,,,,,,
Bad CPU,1.0 out of 5 stars,CPU caused blue screen issues non-stop,,,,,,,,CP+A16:J21U caused blue screen issues non-stop
Shipped 3 dead CPUs by Amazon,1.0 out of 5 stars,"I've just about had it.It takes about an hour and a half to uninstall old components, install new on",,,,,,,,
Dead On Arrival (DOA)!,1.0 out of 5 stars,"What I dislike? You would think that you will not get a bad CPU from a reputable company, makes it m",,,,,,,,
Disappointed,1.0 out of 5 stars,arrive dead on arrival. worked with intel for a while to troubleshoot post issues but no luck. turns,,,,,,,,
"I've used Intel forever, and this was the worst",1.0 out of 5 stars,Not sure if Quality Control is out the door for intel but the speeds on my chip were atrocious. It r,,,,,,,,
Received wrong and used CPU,1.0 out of 5 stars,"The CPU I received was not even LGA1700 and it was clearly used, I could see clearly remaining therm",,,,,,,,
"Do not purchase anything from this company, they sold me a defective CPU for $600",1.0 out of 5 stars,"Non functional CPU , scammer company",,,,,,,,
"Sent opened processor. Was defective. Returned, no refund as of yet",1.0 out of 5 stars,Sent opened processor. Was defective and returned and shows received on May 17th and still no refund,,,,,,,,
Totally a scam,1.0 out of 5 stars,totally a scam,,,,,,,,
There is instability,1.0 out of 5 stars,default frequency cannot pass r15,,,,,,,,
Item arrived dead on arrival,1.0 out of 5 stars,Dead on arrival.,,,,,,,,
Completely unusable,1.0 out of 5 stars,"As soon as I assembled it, it overheated and became a bluescreen nightmare. To address the issue, I replaced the water cooler, graphics card, and power supply, but nothing improved. I replaced it with the i5 1360KF I bought at the same time, and it turned out the CPU was the cause.",,,,,,,,
Terrible quality control and they solve nothing,1.0 out of 5 stars,"The product arrived defective. It doesn't work, installed it on the board and it doesn't give video, it arrived dead, it seems to me.",,,,,,,,
Sent a used product,1.0 out of 5 stars,Sent a used CPU box said âthanks to you this product has a new lifeâNo where does it say this is use,,,,,,,,
Check before installing,1.0 out of 5 stars,"I received this CPU in the Intel box, but the plastic holder was loose inside the box.I thought it j",,,,,,,,
GARBAGE!,1.0 out of 5 stars,STILL FIGHTING FOR OUT REFUND! ITEM WAS NOT IN BOX WHEN SHIPPED!!,,,,,,,,
Failed after one year of use,1.0 out of 5 stars,"One year later, this CPU has completely failed. Not an issue with any other of my components, everyt",,,,,,,,
The processor doesn't work,1.0 out of 5 stars,The return window closed and the processor stopped working. Negotiations with the manufacturer have ,,,,,,,,
DEFECTIVE!!!,1.0 out of 5 stars,came in with the sticker void peeled but when i opened the box it looked new so i installed it. Moth,,,,,,,,
Open box,1.0 out of 5 stars,Received in an unsealed box and already used.,,,,,,,,
1 star for everything I got the package got the CPU box but the seal was broken and no CPU,1.0 out of 5 stars,i was waiting to install the cpu well i got the cpu box the seal was broken and no cpu was in the bo,,,,,,,,
CPU received appears to have been used,1.0 out of 5 stars,Received relatively quick. The issue was there was a stain on the CPU die which I can only assume is,,,,,,,,
The CPU did not work,1.0 out of 5 stars,Hired someone to help me and the CPU did not work at all. Kept trying but it would not work. Returni,,,,,,,,
Dead on arrival.,1.0 out of 5 stars,I didnt even get a chance to use the product.,,,,,,,,
"Beware. Used, refurbished item",1.0 out of 5 stars,Description does not say used / renewed item.,,,,,,,,
Box was already opened,1.0 out of 5 stars,First impression was terrible. Box came with the CPU loose not attached and secured. Intel seal was ,,,,,,,,
No working,1.0 out of 5 stars,No working,,,,,,,,
Beware,1.0 out of 5 stars,broken on arival,,,,,,,,
Check to make sure your board is compatible!,1.0 out of 5 stars,"This is my experience, I doubt that this is actually a problem with the processor itself, and more c",,,,,,,,
Lasted 4 months,1.0 out of 5 stars,This CPU quit after four months. I cannot get in touch with Amazon customer support nor can I connec,,,,,,,,
Arrived DOA,1.0 out of 5 stars,This CPU arrived DOA . For all the years I have been building PC's Gaming Rigs and Workstations I ha,,,,,,,,
Faulty product,2.0 out of 5 stars,"It's not Amazon's issue, but the processor I bought is faulty. I'm experiencing crashes while playing.",,,,,,,,
Heat issues with this 13900k,2.0 out of 5 stars,"Took me forever to figure this out, but I can't reach rated speeds on my 13900K due to throttling. SP",,,,,,,,
Nothing But Issues,2.0 out of 5 stars,"I've had nothing but issues with this processor. It's a personal heater, causes tons of crashes, and.",,,,,,,,
Overpriced,2.0 out of 5 stars,Performance leaves much to be desired at this price point. Fastest gaming CPU on the planet when I bought it.,,,,,,,,
