title,rating,review,,,,,,,,
Unit was previously opened....,1.0 out of 5 stars,"I've put together a few systems and run some retail 12900k chips so far, and the 12900k is by far an amazing chip.",,,,,,,,
This generation needs a lot of software and driver updates - SLOWER,1.0 out of 5 stars,"Upgraded from an i9-9900k. Using Windows 11, I can absolutely say this system is much slower.",,,,,,,,
No video,1.0 out of 5 stars,"As others mentioned, there was something off with these chips. This was a new build. I have no video - it's dead.",,,,,,,,
SCAM,1.0 out of 5 stars,"I purchased this item then waited about a week for it. When it got here, it was NOT the item I ordered.",,,,,,,,
Overheats,1.0 out of 5 stars,"If you get this processor, it has high-temperature problems. If you look it up online, you will see that it can't handle the heat.",,,,,,,,
Be cautious,1.0 out of 5 stars,"Received the product, everything on the packaging said i9-12900k. But the processor inside the case was different.",,,,,,,,
Needing support!,1.0 out of 5 stars,"I connected my i9 12900k, but the computer detects it as Celeron G6900 with 2 cores... Is this a scam?",,,,,,,,
Did not work with DDR4 faster than 3000mhz,1.0 out of 5 stars,Memory controller was not okay.,,,,,,,,
Zero documentation,1.0 out of 5 stars,"You would expect when you buy the highest quality product from Intel, they would at least tell you how to use it.",,,,,,,,
"Didn't work, returned it to sender and haven't been refunded",1.0 out of 5 stars,"It didn’t work, and I returned it, but I haven’t been reimbursed after several weeks.",,,,,,,,
Box had been previously opened,1.0 out of 5 stars,"For what you spend, I would expect a CPU that hasn’t been opened. Not receiving a returned product.",,,,,,,,
Low power consumption,5.0 out of 5 stars,Best decision for virtualization.,,,,,,,,
Super performant,5.0 out of 5 stars,"Very versatile CPU, I use it for various functions, but it gets hot during gaming.",,,,,,,,
Service is different,1.0 out of 5 stars,The first CPU only worked for about a month. I've been waiting for over 2 months for the warranty.,,,,,,,,
The package was opened,3.0 out of 5 stars,"The processor and fan look new, but the packaging was already opened upon receipt.",,,,,,,,
Exceptional,5.0 out of 5 stars,I received the product earlier than expected and it’s all exceptional! I recommend the purchase.,,,,,,,,
Complaint to Amazon delivery personnel was gathered,3.0 out of 5 stars,"The CPU is in the box, but the memory is just paper-packed. If you damage it, you will be responsible for it! If you designate a place to put it, it will arrive with no problems.",,,,,,,,
"Nice processor, but needs an external cooler",5.0 out of 5 stars,"I have had this CPU for a few weeks now, I am impressed with its performance. However, it definitely",,,,,,,,
CPU I7 12700,5.0 out of 5 stars,"GREAT PROCESSOR, VERY FAST.",,,,,,,,
It's always him,5.0 out of 5 stars,An i7 is always an i7.,,,,,,,,
Intel Core i7-12700,5.0 out of 5 stars,What can you say about a processor? I needed it for a build. Very satisfied. Used for SHIPCONST.,,,,,,,,
Top processor,5.0 out of 5 stars,"I recently purchased this 12th gen processor, and I must say it’s a bomb, both for work and gaming.",,,,,,,,
Very performant CPU,5.0 out of 5 stars,"Very versatile CPU, you can do everything from work to gaming without issues (I recommend replacing the stock cooler).",,,,,,,,
Excellent processor,5.0 out of 5 stars,"Excellent and fast processor, tested and tried, no problems so far.",,,,,,,,
Many cores at a great price,5.0 out of 5 stars,"It performs like a beast, but in certain scenarios, it heats up a lot.",,,,,,,,
Best CPU,5.0 out of 5 stars,Great high-end CPU for those who want something more than just gaming.,,,,,,,,
Excellent processor,5.0 out of 5 stars,"Great processor, no noise. It arrived in excellent packaging with an air cooler.",,,,,,,,
Opened and damaged,3.0 out of 5 stars,"Can I know why the box was opened and damaged? I bought it new, but it looks like someone opened it.",,,,,,,,
"Good processor, excellent price",5.0 out of 5 stars,Gaming PC.,,,,,,,,
Very satisfied,5.0 out of 5 stars,Ottimo,,,,,,,,
Good mid-range CPU,4.0 out of 5 stars,I have had my computer with the i5-12400F for almost 2 years now and it runs great. I use it for light,,,,,,,,
Could be packed better,4.0 out of 5 stars,"It arrived quickly and is working but was very poorly packaged, I was afraid it was damaged.",,,,,,,,
Computer,4.0 out of 5 stars,the product arrived within the described time and I am satisfied,,,,,,,,
Correct,4.0 out of 5 stars,"Received in damaged packaging, but otherwise it works very well",,,,,,,,
Does not work as it should anymore !!!,4.0 out of 5 stars,Same thing as for the motherboard and memory sticks!!!,,,,,,,,
"Not bad considering the expense (€165), lousy cooler",4.0 out of 5 stars,"Certainly not the best i5, but for the price paid 165€ it does its job. Big flaw the heatsink",,,,,,,,
Good purchase,4.0 out of 5 stars,"For my needs, a perfect purchase. Medium or rather more than medium quality processor, of generation",,,,,,,,
Only flaw is the cooler,4.0 out of 5 stars,"The reputation of this processor precedes it, for mid-range PCs it is excellent, as I said the only flaw",,,,,,,,
Good value for money,4.0 out of 5 stars,Switching from an early generation i5 to this one is noticeable,,,,,,,,
Good,4.0 out of 5 stars,well packaged and working,,,,,,,,
Top,4.0 out of 5 stars,Top,,,,,,,,
Good processor,4.0 out of 5 stars,"Very good processor, plan for another cooling system because it heats up a lot. Water",,,,,,,,
Product of excellent quality!,4.0 out of 5 stars,"Quality product, arrived on time, what I didn't like was that it was delivered to third parties and I had",,,,,,,,
Product okay,4.0 out of 5 stars,"Easy installation, product as described.",,,,,,,,
PC,4.0 out of 5 stars,good,,,,,,,,
Huge cooler,4.0 out of 5 stars,"Proc ok. Very large heatsink, fortunately I didn't plan to use my 4 DDR4 slots... A bit",,,,,,,,
The CPU is 10/10 for the money BUT!!,4.0 out of 5 stars,"The CPU is 10/10 for the money. The stock cooler is a problem, getting loud at normal temps 55-70. ",,,,,,,,
High-quality processor but poor quality packaging,4.0 out of 5 stars,"The processor itself is perfect, we know Intel and its 12th generation which is a bargain for",,,,,,,,
Good,4.0 out of 5 stars,"1 day late but everything came right, box slightly damaged with dents and wear but in",,,,,,,,
Best price quality processor,4.0 out of 5 stars,"Great for gaming, but the provided heatsink is lousy with peaks of 85°C",,,,,,,,
Price performance,4.0 out of 5 stars,okay,,,,,,,,
Super CPU,4.0 out of 5 stars,It is very good for gaming and the price is also very good,,,,,,,,
Beefy processor,4.0 out of 5 stars,"As an entry-level i5 of this generation, it delivers everything I need, I liked the speed and stability",,,,,,,,
Very Great Processor . . .,5.0 out of 5 stars,"The processor was very power efficient. I develop Android apps and web development, and for this the processor is",,,,,,,,
Got it under 10k,5.0 out of 5 stars,Try to get it under 10k and check the rankings in the details sections before buying anything,,,,,,,,
Highest Price to Performance processor for gaming.,5.0 out of 5 stars,I upgraded from 9400F. The performance gain is huge. I use Cooler Master Hyper 212 with this and my,,,,,,,,
No discrete graphics in this processor,4.0 out of 5 stars,"This will not work without a graphics card, so be careful before ordering.",,,,,,,,
Nice processor under 12k,5.0 out of 5 stars,Best gaming and multitasking processor at the price of 12k for a budget PC of around 80k,,,,,,,,
12400f,5.0 out of 5 stars,It runs well for productivity tasks. A 6-core CPU is the minimum requirement for smooth running of any large,,,,,,,,
Just as expected ??,5.0 out of 5 stars,"Got it at the cheapest price of 10,250 Rs in the sale. I was a bit worried about getting scammed since",,,,,,,,
Bang for the buck,5.0 out of 5 stars,"This is the king in price-to-performance ratio. Paired with a 1660S, most games are giving me 90-100",,,,,,,,
Keep in mind to definitely buy a graphics card,4.0 out of 5 stars,"This one has no graphics processing unit, and hence if you use this without a graphics card, the BIOS will",,,,,,,,
Good Value,5.0 out of 5 stars,Great little CPU. Quick and snappy processor for those on a budget. Currently have it in my PC I built myself.,,,,,,,,
Great performance on a budget,5.0 out of 5 stars,Excellent value. This is a great processor that can handle just about any task imaginable. Just did a computer build.,,,,,,,,
It's amazing how far i3s have come!,5.0 out of 5 stars,Conforming. Private.,,,,,,,,
A processor with a good quality/price ratio,5.0 out of 5 stars,"Crazy Good Performance for the Price. Even in 2023, it's astounding how much performance this i3 delivers.",,,,,,,,
Core i7 7700 and usage feel are equivalent,5.0 out of 5 stars,As advertised. As advertised.,,,,,,,,
Great product for Video Editing,5.0 out of 5 stars,Surprisingly good for an i3. I bought this because my i9-12900k was giving me problems.,,,,,,,,
Good product,5.0 out of 5 stars,Excellent quality price. It arrived in 5.,,,,,,,,
It's doing its job great,5.0 out of 5 stars,"Stable and good product. The processor has been working for over 6 months without any issues, almost every day for more than 8 hours a day.",,,,,,,,
"Very good product, arrived earlier than expected well packaged and sealed",5.0 out of 5 stars,Excellent. I recommend this good processor!,,,,,,,,
Good for office use,5.0 out of 5 stars,Very good product. Very good product.,,,,,,,,
Quiet,5.0 out of 5 stars,Upgrading from an i3 10100. I was hesitant to buy this CPU because I already have an i3 10100 10th generation and it is slow.,,,,,,,,
Works great,5.0 out of 5 stars,"Excellent quality-price ratio. It arrived in 5 days in Colombia, excellent processing.",,,,,,,,
The advantages of the 12th generation at a reduced price,5.0 out of 5 stars,"Noticeable speed increase. As luck would have it, I was preparing a 10th gen i3-10100 system the day before. Just got done building.",,,,,,,,
Good value for money,5.0 out of 5 stars,Great budget CPU. No bottleneck for my GPU (GeForce GTX 1080). Above 100+ fps on most games at 1080.,,,,,,,,
Excellent Value,5.0 out of 5 stars,Good entry-level CPU. You'll get more fps in most games than with Intel 11th generation and AMD Ryzen 5000 CPUs.,,,,,,,,
As advertised,5.0 out of 5 stars,This is a great processor that can handle just about any task imaginable. Just did a computer build ,,,,,,,,
For gaming PCs,3.0 out of 5 stars,This is a fine processor. I would recommend it to a beginner or anyone who doesn't need extreme perf,,,,,,,,
Overpriced,3.0 out of 5 stars,"I love it, but I'm pretty sure I got a faulty one. I've been using it for a year and it doesn't compa",,,,,,,,
Faulty,3.0 out of 5 stars,"The CPU works perfectly, but the CPU cooler fan didn't work when ever I plugged in the CPU cooler fan m",,,,,,,,
Amazing CPU but horrible CPU cooler fan,3.0 out of 5 stars,This is the second processor I have had to buy as the first burned out with proper ventilation.,,,,,,,,
Okay,3.0 out of 5 stars,I'm not sure,,,,,,,,
I'm not going to use it,3.0 out of 5 stars,"When you try to run several gaming machines at the same time, the CPU usage rate reaches 100%, and if you do not have a normal use in the block, you may have a problem with",,,,,,,,
Doesn't fit well,3.0 out of 5 stars,3.5,,,,,,,,
Cost performance is okay,3.0 out of 5 stars,"t's not very powerful for gaming machines. Given that 5000 points is enough, I bought an i5 9400F, so I won't use glass for now. For other purposes, it's fine, so those who don't need gaming shouldn't worry.",,,,,,,,
"For general use, there is a problem!",3.0 out of 5 stars,I replaced my old work computer with a custom-built one! It cost a total of just under forty thousand.,,,,,,,,
It comes out for general use,3.0 out of 5 stars,"The price is affordable and it seems to be able to handle games to some extent, that's about it.",,,,,,,,
"Perfect, but delayed",3.0 out of 5 stars,"Great product, but kept getting delayed in shipping. Postponed my PC build by nearly a week because ",,,,,,,,
"How about sending a CPU in a box, and not a bag?",3.0 out of 5 stars,"Its a great CPU.The packaging by Amazon, in shipping it, is awful.Nothing like getting a squashed CP",,,,,,,,
3 stars for Amazon,3.0 out of 5 stars,"This is a great CPU and I give it 5 stars. I'm sorry Amazon, you just don't ever ship a processor in",,,,,,,,
"The box arrived damaged, and the seal was broken",3.0 out of 5 stars,"Please note at the time of purchase? The box was dented upon delivery. The package delivered was undamaged, so it must have been dented before shipping. ",,,,,,,,
Heavy workload doesn't come out well,3.0 out of 5 stars,"I never got to try it, but I suppose it's not a bad processor for office tasks and things that don't need much power.",,,,,,,,
Basic,3.0 out of 5 stars,"Thanks One True God! For first look, this CPU looks good at a good price. You get 4 cores + 8 threads in",,,,,,,,
Does not support 3200MHz memory! Shame!,3.0 out of 5 stars,It is the first CPU that is not an i5-i7-i9 or Ryzen 5-7-9 I have used. For first impression it seems o,,,,,,,,
Not the most responsive PC I've used,3.0 out of 5 stars,"Doesn't have Graphics components, several Linux distros just wouldn't boot.",,,,,,,,
"Linux, your Mileage may vary..",3.0 out of 5 stars,This CPU is obviously used seeing as there's thermal paste on it. I didn't buy this product as used.,,,,,,,,
Used CPU - Beware,3.0 out of 5 stars,"The CPU itself was great and easy to install, but the pins on the fan came broken so I had to buy a n",,,,,,,,
Good but fan pins were broken,3.0 out of 5 stars,"Package looks like it's been through World War 3. Hopefully, everything is still functional.",,,,,,,,
Damaged box,3.0 out of 5 stars,It doesn't run without a graphics card.,,,,,,,,
Maybe compatibility with the motherboard.,3.0 out of 5 stars,"The compatibility seems to be falling short. Although troubleshooting BIOS and graphics settings usually resolves issues, some may find it challenging, especially for those assembling a PC for the first time. Nonetheless, those eager to do so will find the setup rewarding.",,,,,,,,
Shipping method is as rich as ever,3.0 out of 5 stars,"The item was delivered in a plastic bag. Despite the delicate nature of precision equipment, the packaging was insufficient to protect it adequately. Although the precision instrument was purchased from Amazon, the packaging did not meet expectations. The motherboard was also purchased at the same time.",,,,,,,,
Temperature is high,3.0 out of 5 stars,"The cooler master's simple water cooling system seems to be struggling with a power limit of 160 watts. While watching YouTube, the system experienced thermal issues when attempting to replay videos, resulting in sudden temperature spikes. However, under normal circumstances, temperatures remain stable during playback.",,,,,,,,
"Regret, should have gone with AMD",3.0 out of 5 stars,"Because of the crash problem and we are told to turn down the performance in the CPU, We are not get",,,,,,,,
I finally lost,3.0 out of 5 stars,"I've built computers for more than 20 years, and I have never in my life had so much trouble booting",,,,,,,,
"Amazon performance top, Intel performance ok",3.0 out of 5 stars,I bought the CPU from Amazon and received packaged new goods. Amazon gave it 5 stars.,,,,,,,,
"Great when I first received it, then an update to the ME engine nerfed it",3.0 out of 5 stars,"I was really pleased with this processor in the beginning, was running it at 6.1Ghz as a daily drive",,,,,,,,
The heat is hot,3.0 out of 5 stars,Super hot CPU. Investing in this means investing in serious cooling for it.,,,,,,,,
Box cut with a cutter,3.0 out of 5 stars,"The box had a box cutter cut on the top, I'm really upset that there was so little care.",,,,,,,,
Possibly better compatibility with the motherboard,3.0 out of 5 stars,"Evaluation of game crashes. While adjusting BIOS and graphics settings may help resolve the issue, it's still unclear. Those who desire assistance are advised to seek help, as some may not have experience in setting up. Nonetheless, for those who desire assistance, troubleshooting settings is encouraged.",,,,,,,,
Shipping method remains the same,3.0 out of 5 stars,"The backpack was delivered. Despite the delicate nature of the precision equipment, it arrived with a significant tear. The precision instrument was indeed purchased from Amazon. Even when purchasing the motherboard, the same backpack was used. The memory was also purchased.",,,,,,,,
The temperature is high,3.0 out of 5 stars,"The liquid cooling of the cooler master handles 160W with ease, but when watching videos on YouTube and switching to gaming mode, the temperature rises suddenly. While the temperature remains stable during normal use, it becomes unstable when gaming.",,,,,,,,
Performance is satisfactory,3.0 out of 5 stars,"In summary! Performance and stability are satisfactory. When comparing the i9 K series payment with other platforms, there doesn't seem to be a noticeable performance difference, so perhaps sticking with the i9 series is a good choice. Even with overclocking, there isn't a significant performance gap compared to other platforms.",,,,,,,,
I should have gone with AMD,3.0 out of 5 stars,"Because of the crash problem and we are told to turn down the performance in the CPU, We are not get",,,,,,,,
I finally lost,3.0 out of 5 stars,"I've built computers for more than 20 years, and I have never in my life had so much trouble booting",,,,,,,,
"Amazon performance top, Intel performance ok",3.0 out of 5 stars,I bought the CPU on Amazon and received packaged new goods. Amazon gave it 5 stars. Regarding the Intel CPU.,,,,,,,,
"Great when I first received it, then an update to the ME engine nerfed it.",3.0 out of 5 stars,"I was really pleased with this processor in the beginning, was running it at 6.1Ghz as a daily drive",,,,,,,,
The heat is hot,3.0 out of 5 stars,Super hot CPU. Investing in this means investing in serious cooling for it.,,,,,,,,
Box cut with a box cutter,3.0 out of 5 stars,"The box had a box cutter cut on the top, I'm really annoyed at the lack of care.",,,,,,,,
Sold without CPU Cooler... :-(,2.0 out of 5 stars,"Great value for the price, but sold as Box, implying it comes with a cooler... which it doesn't.",,,,,,,,
Do NOT run over 4800 DDR5! - Warranty will be voided!,2.0 out of 5 stars,I purchased this processor and was happy with it until I stumbled upon a youtube video that proclaim,,,,,,,,
Good,2.0 out of 5 stars,My sons using it so I guess its a good item,,,,,,,,
Faulty,2.0 out of 5 stars,Thanks Amazon/Intel for shipping a faulty CPU then proceed to try to make me wait a week except I co,,,,,,,,
No stock cooler,2.0 out of 5 stars,No stock cooler. Extremely annoying.,,,,,,,,
Product arrived in a damaged box and was loose in packaging,2.0 out of 5 stars,The product arrived in a damaged box and the chip was loose inside the box having been freed from it,,,,,,,,
Worse than AMD's second generation,2.0 out of 5 stars,"The result speaks for itself. 25466pt AMD Ryzen 5 3600 (Type Fall Generation 19515pt) This CPU Intel Core i5 12600K * Even so, it seems like the latest type, the same class as the Ryzen. To make this PC, I need 1 set",,,,,,,,
Does not run without extra graphics card.,2.0 out of 5 stars,"Product batch number is different on Product and invoice, due to this, Intel is not showing warranty.",,,,,,,,
This motherboard will not work without an external video card. No video on board.,2.0 out of 5 stars,"When I purchased this product for someone, it was supposed to be NEW... however, the box looks very w",,,,,,,,
SCAM,1.0 out of 5 stars,"CPU is bad and used. Today, I opened the box. The CPU came in a new box, but the CPU was broken. This is unacceptable.",,,,,,,,
Dead on arrival,1.0 out of 5 stars,"After troubleshooting with Q-LED lights, I deduced it was the CPU. It was a surprise since the packaging seemed fine.",,,,,,,,
Intel good Amazon bad.,1.0 out of 5 stars,Amazon sent a broken item to me.,,,,,,,,
"The first Intel CPU I ordered, the fan of the cooler came in broken and the second CPU came in good",1.0 out of 5 stars,I bought the Intel Core i3 12100F. Nothing was wrong with it except the fan of the cooler that came with it.,,,,,,,,
"Bought new motherboard, processor and memory and won't post",1.0 out of 5 stars,"Not sure if I have a bad motherboard, processor, or memory. Won't post.",,,,,,,,
Not an officially circulated product in the country,1.0 out of 5 stars,"The product was described as a genuine domestic product, and I purchased it from nvsnShop. However, it turned out to be something that was already taken out of its package and returned domestically in Korea.",,,,,,,,
Sucks,1.0 out of 5 stars,The fan came broken twice.,,,,,,,,
Cooler,1.0 out of 5 stars,"The CPU cooler broke when I hooked it up to my motherboard. The CPU itself is great, but the cooler is not.",,,,,,,,
Pain in to setup. Nothing but a headache. I wish I would have got a different CPU.,1.0 out of 5 stars,"No support for DeepCool heatsinks. Wasted time modifying it to fit (it does work, but wasted a couple of hours).",,,,,,,,
"CPU was faulty, wouldn't connect with any RAM",1.0 out of 5 stars,"So I ordered this 12600K as it was for sale on Black Friday. When I received the order, I started to install it on...",,,,,,,,
Amazon failed me but Intel didn't,1.0 out of 5 stars,"I bought an i5 somewhere else, and it's great. Really, the CPU is amazing for everything you need.",,,,,,,,
"4k 60FPS playback, expectations for video editing, for Lightroom",1.0 out of 5 stars,"The configuration of this CPU: ASRock H670 PG Riptide, DDR4 3600Mhz 32GB, PCIe gen4 SSD 2TB. With the ?7IV, it shoots 4K video at 60FPS in XAVC HS.",,,,,,,,
No cooler,1.0 out of 5 stars,"It comes without a cooler, and the old ones are not compatible. All previous generations included them. It should have been mentioned.",,,,,,,,
It Doesn't Come with a Fan and Sink…,1.0 out of 5 stars,Why… just… why is that not prominently mentioned… awful.,,,,,,,,
Died after a month,1.0 out of 5 stars,The processor died after a month. I don't recommend it.,,,,,,,,
Not new,1.0 out of 5 stars,Received a clearly used processor covered in thermal paste.,,,,,,,,
Received Broken,1.0 out of 5 stars,"Received a broken CPU. Didn't build the PC in time for return, and now I can't return it.",,,,,,,,
They should be more clear,1.0 out of 5 stars,"DOES NOT COME WITH A COOLER. YOU CANNOT USE IT WITHOUT ONE. So frustrating, every CPU I've ever bought has come with a cooler.",,,,,,,,
Disappointed! To be avoided,1.0 out of 5 stars,"Intel package opened. Expensive product, but no care taken. Amazon completely ignored me. Disappointed.",,,,,,,,
Great product but...,1.0 out of 5 stars,"Nothing to say about the CPU. It's been 10 days since my order, and I should have received the product 5 days ago.",,,,,,,,
Not good at all,1.0 out of 5 stars,"Be careful, everyone. There is no information here! It is important to know that this is the smallest...",,,,,,,,
!!CPU cooler is urgently needed!!,1.0 out of 5 stars,"Attention people, there is no information here! It would be important to know that this is the smallest…",,,,,,,,
Faulty CPU,1.0 out of 5 stars,Processor bought new and defective. Installed with an ASUS ROG Strix E-Gaming motherboard.,,,,,,,,
Unsuitable for graphics card on the Gigabyte Motherboard Z690 UD 1700 ATX,1.0 out of 5 stars,This processor is not suitable for the graphics card as there is no output to the monitor.,,,,,,,,
Defective (Amazon warehouse item),1.0 out of 5 stars,"The article was already installed in a PC by someone else, and there was thermal paste present when unboxing.",,,,,,,,
The item received is not the right one,1.0 out of 5 stars,"Received a ""Dell Laptop Charger 19.5V"" instead of an ""Intel Core i7-12700KF Processor.""",,,,,,,,
Broken warranty seal,1.0 out of 5 stars,"I received a refurbished product, which was not indicated in the product description. Moreover, the CPU was damaged.",,,,,,,,
Why why why,1.0 out of 5 stars,"It's just a scam. I ordered one from the seller inandout, and there was no processor in the package.",,,,,,,,
New i3 series has taken a turn for the absolute worst. DON'T BUY!,1.0 out of 5 stars,"There was a time when i3's were good, but I couldn't even play a game of CoD on the absolute lowest settings.",,,,,,,,
Fair WARNING To The Next Customer,1.0 out of 5 stars,"I am here to warn my fellow honest living people. Be careful as the seller advertises new. Under my purchase, it was used.",,,,,,,,
I3-900f NOT compatible with onboard graphics - you'll need a stand alone card for display.,1.0 out of 5 stars,I was very upset and disappointed with the purchase of two i3-900f CPUs when I discovered through troubleshooting that they were defective.,,,,,,,,
Damaged packaging,1.0 out of 5 stars,The CPU was shipped in a bubble wrap envelope. I am unsure if the damage occurred in transit or before shipping.,,,,,,,,
Review,1.0 out of 5 stars,"I liked how it was so fast with Windows ten, but I didn't like the fact that it couldn't handle simple tasks.",,,,,,,,
Ruined My Gaming Experience,1.0 out of 5 stars,It lags my Discord calls when I'm gaming. I started to lag everything when I start gaming. It also makes my system crash frequently.,,,,,,,,
Bad and terrible CPU!!!,1.0 out of 5 stars,This is bad and should not be bought!!!! Go buy the one from Amazon because this one is just dumb and useless.,,,,,,,,
Confirm the investigation before adding a comment. Let's make a sigh at the missed comments.,1.0 out of 5 stars,"This product (Core i3-9100f LGA1151) was insufficient for my needs and could not be used in my custom-built PC. My motherboard (ASUS H170-PRO) is from the 4th generation, so this product is incompatible.",,,,,,,,
Good and bad,1.0 out of 5 stars,"CPU is good, but dealing with the buyer was bad.",,,,,,,,
Broken seal removed?,1.0 out of 5 stars,The seal on the box was broken before I opened it. There was brownish powder-like dirt on the seal. This is a problem before evaluation.,,,,,,,,
Trash processor,1.0 out of 5 stars,"Can't handle anything, do not buy.",,,,,,,,
Buyer beware,1.0 out of 5 stars,"Expected a new item, but this box was already opened. I'm not pleased...",,,,,,,,
AVOID for anything other than light work,1.0 out of 5 stars,"Very bad processor. Lack of hyper-threading killed it. Get the 10th gen i3 instead, worth it.",,,,,,,,
I DID NOT GET MY REFUND,1.0 out of 5 stars,"Complete piece of crap, and never got my refund.",,,,,,,,
Used - Already Opened,1.0 out of 5 stars,Used. Unsealed box. Missing fan. Thermal paste already on it.,,,,,,,,
DOA,1.0 out of 5 stars,Product was dead on arrival.,,,,,,,,
It reach and it was no good,1.0 out of 5 stars,"It arrived, and it was no good.",,,,,,,,
